# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
230000 -290.398 298.655 262.139 270.464 276.591 286.261 298.439 304.774 310.523 321.811 330.299 338.008
231000 -293.594 300.44 260.45 271.387 276.151 285.217 298.511 304.799 313.122 319.962 330.044 338.722
232000 -294.203 301.814 260.196 271.009 275.743 285.54 298.018 304.231 315.689 319.564 328.027 339.622
233000 -293.723 300.195 260.659 270.771 276.178 285.384 297.845 303.81 315.184 320.322 326.957 341.272
234000 -297.209 301.916 263.017 268.877 275.818 284.66 298.704 303.567 315.357 319.718 326.561 342.244
235000 -295.353 304.321 262.2 269.887 275.338 284.52 297.494 305.302 314.718 319.302 326.04 342.331
236000 -297.402 306.934 262.491 269.906 275.345 284.129 298.059 307.159 312.297 319.008 326.403 341.927
237000 -299.928 306.447 262.232 269.923 275.214 281.631 300.748 305.516 311.812 320.085 326.328 342.128
238000 -299.986 308.046 262.993 269.183 275.222 281.756 301.252 305.116 312.111 319.743 327.221 342.106
239000 -299.121 309.062 263.661 268.362 274.721 282.205 300.554 307.5 311.961 317.631 328.253 340.953
240000 -302.18 310.493 263.263 269.528 273.486 282.879 298.6 309.63 310.63 317.77 328.956 339.896
241000 -300.172 312.078 263.165 269.754 273.109 283.349 296.317 309.912 310.826 319.928 327.806 339.368
242000 -298.464 313.1 262.85 271.534 273.477 283.426 295.428 309.616 311.019 319.711 327.458 338.498
243000 -301.216 314.013 263.009 270.477 273.642 284.099 295.152 308.564 310.397 321.147 326.819 338.534
244000 -304.252 314.221 261.908 270.136 274.978 284.232 294.407 308.45 311.094 320.775 326.649 338.527
245000 -302.393 317.502 262.306 270.91 276.3 283.957 293.469 307.849 310.584 320.68 329.09 336.739
246000 -300.379 315.385 263.042 271.393 276.924 283.242 293.621 307.581 309.418 321.058 329.541 336.059
247000 -302.969 315.482 261.491 271.895 276.899 284.565 292.887 309.081 307.907 320.928 329.746 335.432
248000 -304.03 318.411 262.264 270.144 276.872 285.557 292.856 308.115 309.08 319.294 329.617 337.065
249000 -303.201 318.947 264.316 269.453 276.871 286.143 293.839 307.364 308.665 319.382 329.711 335.553
250000 -306.597 318.362 264.698 269.324 276.959 286.703 293.033 305.909 309.441 318.308 331.354 336.289
251000 -307.688 319.554 265.235 269.753 276.841 287.916 293.742 303.798 310.311 317.969 330.629 338.3
252000 -310.449 321.561 263.525 270.518 276.79 287.751 294.219 303.03 310.979 316.965 330.867 338.285
253000 -309.98 322.464 262.698 271.176 275.936 287.763 295.581 303.222 310.543 316.051 332.465 337.511
254000 -311.815 323.855 263.177 270.671 276.926 287.482 293.583 304.915 309.552 316.748 332.885 336.52
255000 -312.613 324.931 263.49 271.421 277.61 284.73 295.769 304.129 309.721 316.572 332.494 337.118
256000 -310.964 325.653 262.955 272.698 276.708 283.058 297.398 303.715 309.036 317.569 331.217 337.123
257000 -313.789 326.693 261.889 273.817 276.217 283.386 298.276 303.188 309.654 317.401 331.314 336.746
258000 -314.275 328.01 262.281 273.916 277.014 283.002 298.973 301.832 308.821 318.207 331.383 336.277
