,strain,up_strain_armchair,up_strain_zigzag,bottom_stress_armchair,bottom_stress_zigzag,total_stress_armchair,total_stress_zigzag
125,0.025,0.004899771986265566,0.004899771986265566,-0.6245510389610421,-0.10109385599268253,0.2636435207785313,0.8072033309022506
126,0.0252,0.004695288788559848,0.004695288788559848,-0.3924677550505767,0.25719087434614346,0.41765899697274395,0.8419674589973272
127,0.0254,0.0048900519097430095,0.0048900519097430095,-0.37818071586579116,0.3334259962392135,0.569224244153705,1.010743377635833
128,0.0256,0.005086230654587132,0.005086230654587132,-0.3563756433415765,0.34490010480418115,0.7178090531606743,1.136139145368619
129,0.0258,0.005272865669170734,0.005272865669170734,-0.33389637366376596,0.33776375539815695,0.837607321409124,1.2129833526526534
130,0.026,0.005468399294089377,0.005468399294089377,-0.3163578822327784,0.3558198037412174,0.9774912517319702,1.4089215017754604
131,0.0262,0.005654019508739783,0.005654019508739783,-0.3140671507201777,0.2726738808191737,1.076952951137013,1.4244017919901457
132,0.0264,0.005849915128851801,0.005849915128851801,-0.29417123032144066,0.3501339624949214,1.2366323039052678,1.6688555433456747
133,0.0266,0.006043951023936955,0.006043951023936955,-0.276784266347339,0.3852091152107639,1.3824879228797162,1.8338279682892222
134,0.0268,0.005339104318140331,0.005339104318140331,-0.4608182073776616,-0.4763045273054272,-0.32062197743924564,-0.2463913340601768
135,0.027,0.005532452624590123,0.005532452624590123,-0.44175196377065973,-0.48371724040425573,-0.16484073954624104,-0.15305425316009366
136,0.0272,0.005727579358822066,0.005727579358822066,-0.42755093119490456,-0.46907925693645197,-0.021518927481923716,0.009082007861075853
137,0.0274,0.0059232318961286445,0.0059232318961286445,-0.40433447053214866,-0.4541174670324793,0.12717587665932178,0.1365796691801734
138,0.0276,0.006116579393650179,0.006116579393650179,-0.3902783546179873,-0.4503196614729158,0.24987873140324435,0.329720844939556
139,0.0278,0.006312193102421704,0.006312193102421704,-0.37294852389703237,-0.4344819210972549,0.39709405305229506,0.4566306746566764
140,0.028,0.006479129107061832,0.006479129107061832,-0.38002894870466253,-0.5016172747684611,0.508344425923265,0.3417717577759668
141,0.0282,0.006673769675682006,0.006673769675682006,-0.3643420806862896,-0.4233071758624448,0.6410569162433489,0.7059880443919404
142,0.0284,0.00686978663496518,0.00686978663496518,-0.3505813002524721,-0.40913003450011504,0.7875439830504463,0.8314634087963543
143,0.0286,0.00706572351039525,0.00706572351039525,-0.33154540653200876,-0.3974039479797639,0.9327771111525874,0.9567731008205026
144,0.0288,0.0072580606570866735,0.0072580606570866735,-0.3209355428225074,-0.385776677676893,1.0395396608601097,1.1279364289816236
145,0.029,0.0074540776163700695,0.0074540776163700695,-0.30359356359744655,-0.3746780212129075,1.1841899206679691,1.2524515708250783
146,0.0292,0.006557310361702484,0.006557310361702484,0.44173112005721155,0.6534623391317721,0.49454107551885,0.9708233760653846
147,0.0294,0.0067504976915184756,0.0067504976915184756,0.47577481299339813,0.6450232538603967,0.6063760909754469,1.0411102366187244
148,0.0296,0.006946069336044136,0.006946069336044136,0.4963457085110989,0.6557040148969013,0.7517545249564781,1.1663887155392743
149,0.0298,0.0071419253186935094,0.0071419253186935094,0.5217352383622191,0.6655200390511253,0.8979744473309461,1.2906963119529313
150,0.03,0.007335595173946219,0.007335595173946219,0.5330957870254925,0.6864029664299067,1.0216549730016151,1.4965880398632037
151,0.0302,0.0075221513180689925,0.0075221513180689925,0.5282588960450324,0.6599565664647897,1.0846357407656737,1.5431808056865597
152,0.0304,0.007717155095274153,0.007717155095274153,0.5521415555238575,0.7040370742260282,1.235573674889141,1.7507666695512836
153,0.0306,0.007878830237924683,0.007878830237924683,0.5027426152961714,0.5947540161721068,1.1353223565436195,1.7447958659982872
154,0.0308,0.008074646987575873,0.008074646987575873,0.5288694531470627,0.6059058069563593,1.2806370588363984,1.867873395752022
155,0.031,0.008270865369882863,0.008270865369882863,0.5570210738293918,0.6991211271122536,1.4688710973531327,2.1294871936879
156,0.0312,0.008302428923963934,0.008302428923963934,0.24995399776434984,0.5172295030593445,1.2215354338262607,2.255117066094182
157,0.0314,0.006920266561336819,0.006920266561336819,0.2623602358909476,-0.07392702208626327,0.1664509035806072,-0.08997896454589412
158,0.0316,0.007112603708028242,0.007112603708028242,0.27666768112639667,-0.05462696722704978,0.27408369829151774,0.05939090959851146
159,0.0318,0.007305263616914859,0.007305263616914859,0.26260623125604304,-0.059928784385182704,0.40309014017223516,0.17093847735043816
160,0.032,0.007496749771553457,0.007496749771553457,0.2796566326554858,-0.05158051248238276,0.530219808007255,0.2987885057433332
161,0.0322,0.007325515529013726,0.007325515529013726,-0.1678110832803378,-0.28412423836450107,0.7494592662681994,0.6178045027335087
162,0.0324,0.005018706214868995,0.005018706214868995,0.3761986490068295,0.6375439484995465,0.9854796066623449,-0.5643180787029396
163,0.0326,0.004777377164505658,0.004777377164505658,-0.7243857165666855,-0.07939983889804032,0.3983914518728803,-0.13893379247322032
164,0.0328,0.0049251828354506255,0.0049251828354506255,-0.4684503768143538,-0.11669480227787606,0.5940169194836504,-0.0872862362567188
165,0.033,0.0051186953542445845,0.0051186953542445845,-0.4572645137496255,-0.07980188346588446,0.7204065628900994,0.052016097275056065
166,0.0332,0.005277499207646308,0.005277499207646308,-0.49700174137334907,-0.11109457416921101,0.8701298601230384,0.23954084417710642
167,0.0334,0.00546898536228535,0.00546898536228535,-0.48079141939534586,-0.06707984706221612,1.0008167663679663,0.3362974161223321
