# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
279000 97.8146 -4397.66 -8769.4 149.191 854.237 -8731.2
280000 1158.18 -6776.42 -8916.08 247.184 -1468.59 -8941.63
281000 393.157 -7345.37 -8499.19 -101.68 -1784.43 -8551.49
282000 -3348.57 -9119.08 -8472.44 -3522.48 -3125.15 -8496.5
283000 -6376.85 -11491 -8873.87 -6535.17 -5279.8 -8876.88
284000 -6441.73 -10884.3 -8214.24 -6948.5 -5345.17 -8166.31
285000 -8950.18 -9222.67 -7507.79 -9171.15 -4280.27 -7478.84
286000 -5979 -7679.96 -8219.86 -5797.89 -2906.38 -8163.89
287000 -7309.73 -4436.46 -8920.7 -6819.4 -127.629 -8958.64
288000 -8733.55 -5077.1 -9067.67 -8852.12 -733.008 -9031.92
289000 -6093.48 -3336.42 -9654.13 -6366 1091.15 -9610.46
290000 -3824.03 -2544.06 -9985.2 -3913.67 1419.94 -9922.03
291000 -4967.14 -3242.32 -9973.25 -5191.59 860.195 -9915.33
292000 -4445.71 -6599 -9853.34 -4852.97 -2285.69 -9834.95
293000 -5087.98 -11870.4 -8895.34 -5462.68 -7373.18 -8864.08
294000 -5530.8 -14267.1 -8624.18 -5585.15 -9544.93 -8601.64
295000 -6340.26 -15221.9 -8616.45 -5479.56 -10328.6 -8560.64
296000 -9082.13 -17555.6 -8023.27 -8173.16 -12566.6 -8018.96
297000 -9078.72 -16856.1 -7749.75 -9186.04 -11665.8 -7756.2
298000 -8659.88 -14693.8 -7369.91 -9048.56 -10049.5 -7331.89
299000 -10330.8 -15542.5 -7615.13 -10275.8 -10820.9 -7570.86
300000 -11347.3 -16383.7 -6584.36 -11484.9 -11359.7 -6595.68
301000 -9974.48 -19221.9 -6337.13 -9897.46 -14754.8 -6285.46
302000 -8192.14 -20583.6 -6882.31 -7636.42 -15945.6 -6864.73
303000 -6043.2 -22162 -6641.75 -5593.2 -17210 -6656.17
304000 -1937.84 -22157.9 -6742.75 -1392.17 -17249.6 -6782.47
305000 -19.709 -17538.4 -6360.19 316.497 -13234.9 -6382.93
306000 1038.77 -13280.3 -6736.43 1506.05 -9611.94 -6694.5
307000 -748.659 -15066.7 -7167.97 -48.8905 -10915.1 -7139.89
308000 870.869 -12760.4 -7438.3 1976.44 -8230.14 -7414.83
